datetime,07BE001,07DD001,07DA001,07DA018,07DA040,07DA033,07CE013,07CE002,07CE007,07CD005,07CD001,07DB002,07DB003,07DA038,07DA039,07DA032,07DA041,07DC001,07DC003,07CE008,07CD004,07CD008,07CD009,07CB002,07DA027,07CE005,07DA026,07DA030,07DB006,07DB001,07DC004,07DA035,07DA029,07DA028,07DA008,07DA034,07CE003,07DA007,07DA042,07DA044,07DA006,07CE010,07DA037,07DA045,07CE001,07DA024,07DA023,07DA025
2025-11-25 12:00:00,0.020755647,0.13293357,0.1152684,0.06992308,0.19733334,0.1049,0.29134262,0.2995618,0.20844202,0.46292537,0.35618043,0.072441675,0.05063158,0.15971875,0.14943518,0.14267373,0.16789286,0.4363681,0.48785,0.070625,0.097508624,0.19505557,0.5640973,0.19177678,0.24715626,0.31160158,0.11533335,0.22629547,0.07749703,0.077695005,0.2139412,0.19325002,0.22841251,0.25325,0.17850696,0.28266668,0.44307694,0.06975,0.22114287,0.2353417,0.2154853,0.19935001,0.15762502,0.12740625,0.06926563,0.23842502,0.17850001,0.14463638
2025-11-26 12:00:00,0.039973926,0.102507144,0.09722782,0.025057694,0.11131667,0.062475007,0.010953706,0.019229412,0.03149485,0.45133772,0.27141824,0.04345,0.045539472,0.07868751,0.06950463,0.06779238,0.09701787,0.26568055,0.32600453,0.018616071,0.011146553,0.010111111,0.16020834,0.014339288,0.10553125,0.024468752,0.059194446,0.09979546,0.036812503,0.03671,0.10667648,0.09105001,0.1048125,0.11151471,0.082854174,0.11420834,0.011134616,0.025350003,0.11619644,0.08895001,0.08235294,0.024250003,0.071525,0.064671874,0.011765625,0.1033,0.10302084,0.043500002
2025-11-27 12:00:00,0.1058527,0.17077947,0.14251673,0.34515387,0.28943336,0.24175003,0.09200001,0.06719412,0.15787372,0.3621452,0.2684884,0.35558334,0.2824474,0.4295,0.30762962,0.30660173,0.23410715,0.409588,0.4061182,0.22803572,0.20406897,0.12344445,0.37220833,0.039232142,0.40056252,0.058765627,0.39874998,0.39059094,0.26097026,0.27400002,0.3627059,0.38506666,0.36782503,0.37955883,0.38483337,0.39725003,0.10592307,0.3505667,0.31875,0.4102,0.40964708,0.042866666,0.23719999,0.25146878,0.20659375,0.39340004,0.33454168,0.31436366
2025-11-28 12:00:00,1.4179847,1.2289288,1.3634423,0.5249808,0.25583336,0.23352501,1.1711576,1.5345235,1.1030761,0.21498589,0.60503596,0.5037917,0.49517766,0.20309377,0.26237038,0.26893646,0.19416073,0.25492823,0.19829091,0.65138394,0.68786216,0.91341674,0.219625,1.8971431,0.17315625,1.5462266,0.26508334,0.19331819,0.5511131,0.5338925,0.3262353,0.20651668,0.27036256,0.27127942,0.2750903,0.24025,1.2485001,0.5040667,0.26212502,0.25648335,0.26433825,1.6850166,0.14125001,0.20757812,0.70781255,0.19025001,0.32939586,0.2959773
2025-11-29 12:00:00,0.12446722,0.13785514,0.13872448,0.10467308,0.07468333,0.041300002,0.12553704,0.082861766,0.1350116,0.25565526,0.20072912,0.033000004,0.062861845,0.19503126,0.0636713,0.060686443,0.06885715,0.22913657,0.25092274,0.16525893,0.16271554,0.14780556,0.18236111,0.06465179,0.21615626,0.06625782,0.139375,0.19470455,0.08244048,0.074565,0.12241179,0.17098334,0.15856251,0.17776473,0.15191668,0.209625,0.09400001,0.104166664,0.06300001,0.2044,0.19234559,0.059566673,0.068975,0.05375,0.16342188,0.20545001,0.09979167,0.08413637
2025-11-30 12:00:00,0.010017205,0.023233494,0.024676597,0.0025961543,0.0014833335,0.0057250005,0.007898148,0.01465,0.008902062,0.08618045,0.053321343,0.029991666,0.019677633,0.007906251,0.0109583335,0.010724576,0.0008928572,0.018039353,0.024318183,0.0010982143,0.0010775862,0.0026111112,0.029312499,0.018857142,0.009312501,0.012031251,0.005805556,0.007909091,0.016636906,0.016975002,0.0056470595,0.006383334,0.0064125,0.0069852946,0.006513889,0.008375,0.009692308,0.0022500004,0.0017321429,0.019675003,0.017441178,0.012183334,0.0033,0.00584375,0.000515625,0.008625,0.0040416666,0.0041363644
2025-12-01 12:00:00,0.035306454,0.07409826,0.052453496,0.1401154,0.25146666,0.30640003,0.07055556,0.051711768,0.067987114,0.12329436,0.097923435,0.19878334,0.11375,0.29000002,0.22975002,0.23096612,0.2852143,0.23762502,0.21927272,0.10117858,0.09734483,0.095277786,0.14422223,0.049482144,0.32843754,0.04109375,0.2408611,0.31350002,0.121845245,0.14093,0.25982356,0.29479998,0.284375,0.29552943,0.264,0.31058332,0.047192313,0.14286667,0.24360713,0.23744999,0.23251472,0.033633336,0.33280003,0.30740625,0.100375004,0.32125002,0.25212502,0.1735
2025-12-02 12:00:00,2.1226072,2.1263623,2.15294,2.9178848,1.8627834,2.6252248,3.0905004,2.8697472,2.382317,0.6293609,1.4042953,3.1053336,3.267191,1.7386876,2.69769,2.6850681,2.2773573,0.94447684,0.8893182,2.427393,2.9272242,3.236806,1.0481529,3.1838748,1.6542188,2.6697657,1.9315695,1.6980681,3.281024,3.2023726,1.649706,1.7719333,1.6885875,1.5901914,1.8135141,1.5196875,2.6529424,2.8440003,1.6898037,1.5451,1.6221986,2.7775335,2.592825,2.578578,2.7880783,1.6657251,1.8013334,3.2489548
2025-12-03 12:00:00,1.5235696,0.82911736,0.92613405,0.25084618,0.2595167,0.19022502,0.23367593,0.20790002,0.22851934,0.06421875,0.13867982,0.0912,0.048151318,0.22668752,0.1143102,0.122771196,0.19582143,0.19887501,0.1666182,0.28273216,0.27240518,0.3340278,0.119729176,0.15256251,0.23184377,0.25046876,0.21716668,0.22795457,0.10421727,0.11293751,0.2574559,0.22748333,0.2380875,0.23786764,0.22802776,0.22408335,0.19684616,0.24385001,0.29932144,0.19314167,0.19361766,0.24283335,0.12852502,0.15509376,0.32514066,0.23002501,0.27072918,0.09375
2025-12-04 12:00:00,1.2953824,1.4311764,1.4062591,1.4887308,1.1219667,1.0382,1.8197036,1.3581883,1.4549743,2.2063246,1.8891463,1.04345,0.98034215,1.8475627,0.97752786,1.0032543,0.92607147,2.0539122,1.9318637,1.6711072,2.0667243,2.407,1.5599862,1.4342321,1.8683751,1.1862032,1.6552501,1.7672273,1.0827085,1.1018051,1.6131178,1.7177002,1.69165,1.7539413,1.685514,1.8513751,1.216077,1.4997001,1.18375,1.7180667,1.7037501,1.2112334,0.92960006,1.0185626,1.8940313,1.8035002,1.4768752,1.125
